film,year,category,award,name,age0,age
Murder on the Orient Express,1975,Best Actor,nominee,Albert Finney,38,25-39
One Flew Over the Cuckoo's Nest,1976,Best Actor,winner,Jack Nicholson,38,25-39
Face to Face,1977,Best Actress,nominee,Liv Ullmann,38,25-39
Close Encounters of the Third Kind,1978,Best Supporting Actress,nominee,Melinda Dillon,38,25-39
Chapter Two,1980,Best Actress,nominee,Marsha Mason,38,25-39
Raging Bull,1981,Best Supporting Actor,nominee,Joe Pesci,38,25-39
Tootsie,1983,Best Supporting Actress,nominee,Teri Garr,38,25-39
Terms of Endearment,1984,Best Supporting Actor,nominee,John Lithgow,38,25-39
Places in the Heart,1985,Best Actress,winner,Sally Field,38,25-39
The Natural,1985,Best Supporting Actress,nominee,Glenn Close,38,25-39
Broadcast News,1988,Best Actor,nominee,William Hurt,38,25-39
Ironweed,1988,Best Actress,nominee,Meryl Streep,38,25-39
Dead Poets Society,1990,Best Actor,nominee,Robin Williams,38,25-39
Enemies: A Love Story,1990,Best Supporting Actress,nominee,Anjelica Huston,38,25-39
Dances with Wolves,1991,Best Supporting Actress,nominee,Mary McDonnell,38,25-39
Malcolm X,1993,Best Actor,nominee,Denzel Washington,38,25-39
Mr. Saturday Night,1993,Best Supporting Actor,nominee,David Paymer,38,25-39
Shadowlands,1994,Best Actress,nominee,Debra Winger,38,25-39
Forrest Gump,1995,Best Actor,winner,Tom Hanks,38,25-39
Casino,1996,Best Actress,nominee,Sharon Stone,38,25-39
Tumbleweeds,2000,Best Actress,nominee,Janet McTeer,38,25-39
Unfaithful,2003,Best Actress,nominee,Diane Lane,38,25-39
Capote,2006,Best Actor,winner,Philip Seymour Hoffman,38,25-39
Cinderella Man,2006,Best Supporting Actor,nominee,Paul Giamatti,38,25-39
The Pursuit of Happyness,2007,Best Actor,nominee,Will Smith,38,25-39
Elizabeth: The Golden Age,2008,Best Actress,nominee,Cate Blanchett,38,25-39
I'm Not There,2008,Best Supporting Actress,nominee,Cate Blanchett,38,25-39
Gone Baby Gone,2008,Best Supporting Actress,nominee,Amy Ryan,38,25-39
The Curious Case of Benjamin Button,2009,Best Supporting Actress,nominee,Taraji P. Henson,38,25-39
The Master,2013,Best Actor,nominee,Joaquin Phoenix,38,25-39
Silver Linings Playbook,2013,Best Actor,nominee,Bradley Cooper,38,25-39
The Master,2013,Best Supporting Actress,nominee,Amy Adams,38,25-39
The Letter,1930,Best Actress,nominee,Jeanne Eagels,39,25-39
Bulldog Drummond,1931,Best Actor,nominee,Ronald Colman,39,25-39
Condemned,1931,Best Actor,nominee,Ronald Colman,39,25-39
The Awful Truth,1938,Best Actress,nominee,Irene Dunne,39,25-39
Angels with Dirty Faces,1939,Best Actor,nominee,James Cagney,39,25-39
Algiers,1939,Best Actor,nominee,Charles Boyer,39,25-39
Gone with the Wind,1940,Best Actor,nominee,Clark Gable,39,25-39
Beau Geste,1940,Best Supporting Actor,nominee,Brian Donlevy,39,25-39
Madame Curie,1944,Best Actress,nominee,Greer Garson,39,25-39
The Lost Weekend,1946,Best Actor,winner,Ray Milland,39,25-39
Henry V,1947,Best Actor,nominee,Laurence Olivier,39,25-39
Sister Kenny,1947,Best Actress,nominee,Rosalind Russell,39,25-39
Key Largo,1949,Best Supporting Actress,winner,Claire Trevor,39,25-39
Cyrano De Bergerac,1951,Best Actor,winner,Jos_ Ferrer,39,25-39
The Barefoot Contessa,1955,Best Supporting Actor,winner,Edmond O'Brien,39,25-39
Marty,1956,Best Actor,winner,Ernest Borgnine,39,25-39
Sayonara,1958,Best Supporting Actor,winner,Red Buttons,39,25-39
Room at the Top,1960,Best Actress,winner,Simone Signoret,39,25-39
The Diary of Anne Frank,1960,Best Supporting Actress,winner,Shelley Winters,39,25-39
The Sundowners,1961,Best Actress,nominee,Deborah Kerr,39,25-39
The Apartment,1961,Best Supporting Actor,nominee,Jack Kruschen,39,25-39
Judgment at Nuremberg,1962,Best Supporting Actress,nominee,Judy Garland,39,25-39
Hud,1964,Best Actor,nominee,Paul Newman,39,25-39
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1965,Best Actor,nominee,Peter Sellers,39,25-39
Becket,1965,Best Actor,nominee,Richard Burton,39,25-39
Othello,1966,Best Supporting Actor,nominee,Frank Finlay,39,25-39
A Man for All Seasons,1967,Best Supporting Actor,nominee,Robert Shaw,39,25-39
"Rachel, Rachel",1969,Best Actress,nominee,Joanne Woodward,39,25-39
The French Connection,1972,Best Supporting Actor,nominee,Roy Scheider,39,25-39
The Last Picture Show,1972,Best Supporting Actress,nominee,Ellen Burstyn,39,25-39
Sounder,1973,Best Actress,nominee,Cicely Tyson,39,25-39
Claudine,1975,Best Actress,nominee,Diahann Carroll,39,25-39
Alice Doesn't Live Here Anymore,1975,Best Supporting Actress,nominee,Diane Ladd,39,25-39
Hedda,1976,Best Actress,nominee,Glenda Jackson,39,25-39
Network,1977,Best Supporting Actor,nominee,Ned Beatty,39,25-39
Midnight Express,1979,Best Supporting Actor,nominee,John Hurt,39,25-39
...and Justice for All,1980,Best Actor,nominee,Al Pacino,39,25-39
Gandhi,1983,Best Actor,winner,Ben Kingsley,39,25-39
The Year of Living Dangerously,1984,Best Supporting Actress,winner,Linda Hunt,39,25-39
Salvador,1987,Best Actor,nominee,James Woods,39,25-39
Hannah and Her Sisters,1987,Best Supporting Actress,winner,Dianne Wiest,39,25-39
A Cry in the Dark,1989,Best Actress,nominee,Meryl Streep,39,25-39
Gorillas in the Mist,1989,Best Actress,nominee,Sigourney Weaver,39,25-39
Working Girl,1989,Best Supporting Actress,nominee,Sigourney Weaver,39,25-39
The Grifters,1991,Best Actress,nominee,Anjelica Huston,39,25-39
Nixon,1996,Best Supporting Actress,nominee,Joan Allen,39,25-39
Fargo,1997,Best Actress,winner,Frances McDormand,39,25-39
Sweet and Lowdown,2000,Best Actor,nominee,Sean Penn,39,25-39
The End of the Affair,2000,Best Actress,nominee,Julianne Moore,39,25-39
Adaptation,2003,Best Actor,nominee,Nicolas Cage,39,25-39
In America,2004,Best Supporting Actor,nominee,Djimon Hounsou,39,25-39
No Country for Old Men,2008,Best Supporting Actor,winner,Javier Bardem,39,25-39
The Hurt Locker,2010,Best Actor,nominee,Jeremy Renner,39,25-39
Invictus,2010,Best Supporting Actor,nominee,Matt Damon,39,25-39
The Artist,2012,Best Actor,winner,Jean Dujardin,39,25-39
The Wolf of Wall Street,2014,Best Actor,nominee,Leonardo DiCaprio,39,25-39
American Hustle,2014,Best Actress,nominee,Amy Adams,39,25-39
American Hustle,2014,Best Supporting Actor,nominee,Bradley Cooper,39,25-39
The Guardsman,1933,Best Actor,nominee,Alfred Lunt,40,40-54
Berkeley Square,1934,Best Actor,nominee,Leslie Howard,40,40-54
Black Fury,1936,Best Actor,nominee,Paul Muni,40,40-54
A Star Is Born,1938,Best Actor,nominee,Fredric March,40,40-54
Sergeant York,1942,Best Actor,winner,Gary Cooper,40,40-54
The Song of Bernadette,1944,Best Supporting Actress,nominee,Anne Revere,40,40-54
Mrs. Parkington,1945,Best Actress,nominee,Greer Garson,40,40-54
Mourning Becomes Electra,1948,Best Actor,nominee,Michael Redgrave,40,40-54
Mourning Becomes Electra,1948,Best Actress,nominee,Rosalind Russell,40,40-54
Johnny Belinda,1949,Best Actor,nominee,Lew Ayres,40,40-54
A Streetcar Named Desire,1952,Best Supporting Actor,winner,Karl Malden,40,40-54
From Here to Eternity,1954,Best Actor,nominee,Burt Lancaster,40,40-54
Stalag 17,1954,Best Supporting Actor,nominee,Robert Strauss,40,40-54
The Man with the Golden Arm,1956,Best Actor,nominee,Frank Sinatra,40,40-54
Marty,1956,Best Supporting Actor,nominee,Joe Mantell,40,40-54
Lust for Life,1957,Best Actor,nominee,Kirk Douglas,40,40-54
Never on Sunday,1961,Best Actress,nominee,Melina Mercouri,40,40-54
Spartacus,1961,Best Supporting Actor,winner,Peter Ustinov,40,40-54
Seance on a Wet Afternoon,1965,Best Actress,nominee,Kim Stanley,40,40-54
The Spy Who Came in From the Cold,1966,Best Actor,nominee,Richard Burton,40,40-54
Bonnie and Clyde,1968,Best Supporting Actress,winner,Estelle Parsons,40,40-54
The Great White Hope,1971,Best Actor,nominee,James Earl Jones,40,40-54
The Ruling Class,1973,Best Actor,nominee,Peter O'Toole,40,40-54
Sleuth,1973,Best Actor,nominee,Michael Caine,40,40-54
Cabaret,1973,Best Supporting Actor,winner,Joel Grey,40,40-54
Julia,1978,Best Actress,nominee,Jane Fonda,40,40-54
Coming Home,1979,Best Actor,winner,Jon Voight,40,40-54
Kramer vs. Kramer,1980,Best Supporting Actress,nominee,Jane Alexander,40,40-54
Only When I Laugh,1982,Best Actress,nominee,Marsha Mason,40,40-54
The Right Stuff,1984,Best Supporting Actor,nominee,Sam Shepard,40,40-54
Broadcast News,1988,Best Supporting Actor,nominee,Albert Brooks,40,40-54
Fatal Attraction,1988,Best Supporting Actress,nominee,Anne Archer,40,40-54
Music Box,1990,Best Actress,nominee,Jessica Lange,40,40-54
The Fisher King,1992,Best Actor,nominee,Robin Williams,40,40-54
Passion Fish,1993,Best Actress,nominee,Mary McDonnell,40,40-54
In the Line of Fire,1994,Best Supporting Actor,nominee,John Malkovich,40,40-54
Forrest Gump,1995,Best Supporting Actor,nominee,Gary Sinise,40,40-54
The Crucible,1997,Best Supporting Actress,nominee,Joan Allen,40,40-54
American Beauty,2000,Best Actor,winner,Kevin Spacey,40,40-54
Pirates of the Caribbean: The Curse of the Black Pearl,2004,Best Actor,nominee,Johnny Depp,40,40-54
Hotel Rwanda,2005,Best Actor,nominee,Don Cheadle,40,40-54
Closer,2005,Best Supporting Actor,nominee,Clive Owen,40,40-54
Charlie Wilson's War,2008,Best Supporting Actor,nominee,Philip Seymour Hoffman,40,40-54
The Town,2011,Best Supporting Actor,nominee,Jeremy Renner,40,40-54
American Hustle,2014,Best Actor,nominee,Christian Bale,40,40-54
In Old Arizona,1930,Best Actor,winner,Warner Baxter,41,40-54
The Front Page,1932,Best Actor,nominee,Adolphe Menjou,41,40-54
The Story of Louis Pasteur,1937,Best Actor,winner,Paul Muni,41,40-54
The Life of Emile Zola,1938,Best Supporting Actor,winner,Joseph Schildkraut,41,40-54
Love Affair,1940,Best Actress,nominee,Irene Dunne,41,40-54
The Pride of the Yankees,1943,Best Actor,nominee,Gary Cooper,41,40-54
Going My Way,1945,Best Actor,winner,Bing Crosby,41,40-54
None But the Lonely Heart,1945,Best Actor,nominee,Cary Grant,41,40-54
Since You Went Away,1945,Best Actress,nominee,Claudette Colbert,41,40-54
Mildred Pierce,1946,Best Actress,winner,Joan Crawford,41,40-54
The Valley of Decision,1946,Best Actress,nominee,Greer Garson,41,40-54
Hamlet,1949,Best Actor,winner,Laurence Olivier,41,40-54
"Sorry, Wrong Number",1949,Best Actress,nominee,Barbara Stanwyck,41,40-54
Moulin Rouge,1953,Best Actor,nominee,Jos_ Ferrer,41,40-54
East of Eden,1956,Best Supporting Actress,winner,Jo Van Fleet,41,40-54
Anastasia,1957,Best Actress,winner,Ingrid Bergman,41,40-54
Lust for Life,1957,Best Supporting Actor,winner,Anthony Quinn,41,40-54
Giant,1957,Best Supporting Actress,nominee,Mercedes McCambridge,41,40-54
I Want to Live!,1959,Best Actress,winner,Susan Hayward,41,40-54
Judgment at Nuremberg,1962,Best Supporting Actor,nominee,Montgomery Clift,41,40-54
Birdman of Alcatraz,1963,Best Supporting Actor,nominee,Telly Savalas,41,40-54
The Pawnbroker,1966,Best Actor,nominee,Rod Steiger,41,40-54
Who's Afraid of Virginia Woolf?,1967,Best Actor,nominee,Richard Burton,41,40-54
"Rachel, Rachel",1969,Best Supporting Actress,nominee,Estelle Parsons,41,40-54
The Happy Ending,1970,Best Actress,nominee,Jean Simmons,41,40-54
I Never Sang for My Father,1971,Best Supporting Actor,nominee,Gene Hackman,41,40-54
The Exorcist,1974,Best Actress,nominee,Ellen Burstyn,41,40-54
One Flew Over the Cuckoo's Nest,1976,Best Actress,winner,Louise Fletcher,41,40-54
Julia,1978,Best Supporting Actress,winner,Vanessa Redgrave,41,40-54
Coming Home,1979,Best Actress,winner,Jane Fonda,41,40-54
The Elephant Man,1981,Best Actor,nominee,John Hurt,41,40-54
Moonstruck,1988,Best Actress,winner,Cher,41,40-54
Fatal Attraction,1988,Best Actress,nominee,Glenn Close,41,40-54
A Fish Called Wanda,1989,Best Supporting Actor,winner,Kevin Kline,41,40-54
Postcards From the Edge,1991,Best Actress,nominee,Meryl Streep,41,40-54
The Prince of Tides,1992,Best Supporting Actress,nominee,Kate Nelligan,41,40-54
Schindler's List,1994,Best Actor,nominee,Liam Neeson,41,40-54
Pulp Fiction,1995,Best Actor,nominee,John Travolta,41,40-54
Apollo 13,1996,Best Supporting Actress,nominee,Kathleen Quinlan,41,40-54
Sling Blade,1997,Best Actor,nominee,Billy Bob Thornton,41,40-54
American Beauty,2000,Best Actress,nominee,Annette Bening,41,40-54
Being John Malkovich,2000,Best Supporting Actress,nominee,Catherine Keener,41,40-54
Pollock,2001,Best Supporting Actress,winner,Marcia Gay Harden,41,40-54
I Am Sam,2002,Best Actor,nominee,Sean Penn,41,40-54
Finding Neverland,2005,Best Actor,nominee,Johnny Depp,41,40-54
Kinsey,2005,Best Supporting Actress,nominee,Laura Linney,41,40-54
Doubt,2009,Best Supporting Actor,nominee,Philip Seymour Hoffman,41,40-54
Milk,2009,Best Supporting Actor,nominee,Josh Brolin,41,40-54
The Help,2012,Best Supporting Actress,winner,Octavia Spencer,41,40-54
Bridesmaids,2012,Best Supporting Actress,nominee,Melissa McCarthy,41,40-54
The Big Pond,1931,Best Actor,nominee,Maurice Chevalier,42,40-54
The Love Parade,1931,Best Actor,nominee,Maurice Chevalier,42,40-54
The Thin Man,1935,Best Actor,nominee,William Powell,42,40-54
Come and Get It,1937,Best Supporting Actor,winner,Walter Brennan,42,40-54
The Life of Emile Zola,1938,Best Actor,nominee,Paul Muni,42,40-54
The Magnificent Ambersons,1943,Best Supporting Actress,nominee,Agnes Moorehead,42,40-54
For Whom the Bell Tolls,1944,Best Actor,nominee,Gary Cooper,42,40-54
The Bells of St. Mary's,1946,Best Actor,nominee,Bing Crosby,42,40-54
National Velvet,1946,Best Supporting Actress,winner,Anne Revere,42,40-54
Ride the Pink Horse,1948,Best Supporting Actor,nominee,Thomas Gomez,42,40-54
Sands of Iwo Jima,1950,Best Actor,nominee,John Wayne,42,40-54
Harvey,1951,Best Actor,nominee,James Stewart,42,40-54
Trial,1956,Best Supporting Actor,nominee,Arthur Kennedy,42,40-54
Wild Is the Wind,1958,Best Actor,nominee,Anthony Quinn,42,40-54
The Night of the Iguana,1965,Best Supporting Actress,nominee,Grayson Hall,42,40-54
Cat Ballou,1966,Best Actor,winner,Lee Marvin,42,40-54
You're a Big Boy Now,1967,Best Supporting Actress,nominee,Geraldine Page,42,40-54
The Reivers,1970,Best Supporting Actor,nominee,Rupert Crosse,42,40-54
The French Connection,1972,Best Actor,winner,Gene Hackman,42,40-54
The Godfather,1973,Best Supporting Actor,nominee,Robert Duvall,42,40-54
Alice Doesn't Live Here Anymore,1975,Best Actress,winner,Ellen Burstyn,42,40-54
Annie Hall,1978,Best Actor,nominee,Woody Allen,42,40-54
Heaven Can Wait,1979,Best Actor,nominee,Warren Beatty,42,40-54
Coming Home,1979,Best Supporting Actor,nominee,Bruce Dern,42,40-54
Heaven Can Wait,1979,Best Supporting Actress,nominee,Dyan Cannon,42,40-54
Kramer vs. Kramer,1980,Best Actor,winner,Dustin Hoffman,42,40-54
The China Syndrome,1980,Best Actress,nominee,Jane Fonda,42,40-54
Absence of Malice,1982,Best Supporting Actress,nominee,Melinda Dillon,42,40-54
"Reuben, Reuben",1984,Best Actor,nominee,Tom Conti,42,40-54
Out of Africa,1986,Best Supporting Actor,nominee,Klaus Maria Brandauer,42,40-54
The Color Purple,1986,Best Supporting Actress,nominee,Margaret Avery,42,40-54
Stand and Deliver,1989,Best Actor,nominee,Edward James Olmos,42,40-54
Dangerous Liaisons,1989,Best Actress,nominee,Glenn Close,42,40-54
Parenthood,1990,Best Supporting Actress,nominee,Dianne Wiest,42,40-54
Reversal of Fortune,1991,Best Actor,winner,Jeremy Irons,42,40-54
Cyrano De Bergerac,1991,Best Actor,nominee,Gerard Depardieu,42,40-54
Misery,1991,Best Actress,winner,Kathy Bates,42,40-54
Saving Private Ryan,1999,Best Actor,nominee,Tom Hanks,42,40-54
The Green Mile,2000,Best Supporting Actor,nominee,Michael Clarke Duncan,42,40-54
Far from Heaven,2003,Best Actress,nominee,Julianne Moore,42,40-54
The Hours,2003,Best Supporting Actress,nominee,Julianne Moore,42,40-54
Crash,2006,Best Supporting Actor,nominee,Matt Dillon,42,40-54
Blood Diamond,2007,Best Supporting Actor,nominee,Djimon Hounsou,42,40-54
Precious,2010,Best Supporting Actress,winner,Mo'Nique,42,40-54
Biutiful,2011,Best Actor,nominee,Javier Bardem,42,40-54
Dallas Buyers Club,2014,Best Supporting Actor,winner,Jared Leto,42,40-54
Yankee Doodle Dandy,1943,Best Actor,winner,James Cagney,43,40-54
The More the Merrier,1944,Best Actress,nominee,Jean Arthur,43,40-54
For Whom the Bell Tolls,1944,Best Supporting Actress,winner,Katina Paxinou,43,40-54
All About Eve,1951,Best Actress,nominee,Bette Davis,43,40-54
The Big Sky,1953,Best Supporting Actor,nominee,Arthur Hunnicutt,43,40-54
On the Waterfront,1955,Best Supporting Actor,nominee,Lee J. Cobb,43,40-54
On the Waterfront,1955,Best Supporting Actor,nominee,Karl Malden,43,40-54
Ship of Fools,1966,Best Actor,nominee,Oskar Werner,43,40-54
In the Heat of the Night,1968,Best Actor,winner,Rod Steiger,43,40-54
Cool Hand Luke,1968,Best Actor,nominee,Paul Newman,43,40-54
Cool Hand Luke,1968,Best Supporting Actor,winner,George Kennedy,43,40-54
The Subject Was Roses,1969,Best Actress,nominee,Patricia Neal,43,40-54
Patton,1971,Best Actor,winner,George C. Scott (refused the award),43,40-54
"Farewell, My Lovely",1976,Best Supporting Actress,nominee,Sylvia Miles,43,40-54
The Turning Point,1978,Best Actress,nominee,Shirley MacLaine,43,40-54
The Rose,1980,Best Supporting Actor,nominee,Frederic Forrest,43,40-54
Witness,1986,Best Actor,nominee,Harrison Ford,43,40-54
Wall Street,1988,Best Actor,winner,Michael Douglas,43,40-54
The Postman (Il Postino),1996,Best Actor,nominee,Massimo Troisi,43,40-54
A Simple Plan,1999,Best Supporting Actor,nominee,Billy Bob Thornton,43,40-54
Almost Famous,2001,Best Supporting Actress,nominee,Frances McDormand,43,40-54
Mystic River,2004,Best Actor,winner,Sean Penn,43,40-54
Sideways,2005,Best Supporting Actress,nominee,Virginia Madsen,43,40-54
Transamerica,2006,Best Actress,nominee,Felicity Huffman,43,40-54
Tropic Thunder,2009,Best Supporting Actor,nominee,"Robert Downey, Jr.",43,40-54
Doubt,2009,Best Supporting Actress,nominee,Viola Davis,43,40-54
Rabbit Hole,2011,Best Actress,nominee,Nicole Kidman,43,40-54
The Kids Are All Right,2011,Best Supporting Actor,nominee,Mark Ruffalo,43,40-54
The Last Command,1929,Best Actor,winner,Emil Jannings,44,40-54
The Way of All Flesh,1929,Best Actor,winner,Emil Jannings,44,40-54
The Guardsman,1933,Best Actress,nominee,Lynn Fontanne,44,40-54
The Affairs of Cellini,1935,Best Actor,nominee,Frank Morgan,44,40-54
My Man Godfrey,1937,Best Actor,nominee,William Powell,44,40-54
Romeo and Juliet,1937,Best Supporting Actor,nominee,Basil Rathbone,44,40-54
My Man Godfrey,1937,Best Supporting Actress,nominee,Alice Brady,44,40-54
Kentucky,1939,Best Supporting Actor,winner,Walter Brennan,44,40-54
Gone with the Wind,1940,Best Supporting Actress,winner,Hattie McDaniel,44,40-54
Abe Lincoln in Illinois,1941,Best Actor,nominee,Raymond Massey,44,40-54
Rebecca,1941,Best Supporting Actress,nominee,Judith Anderson,44,40-54
Casablanca,1944,Best Actor,nominee,Humphrey Bogart,44,40-54
For Whom the Bell Tolls,1944,Best Supporting Actor,nominee,Akim Tamiroff,44,40-54
Mrs. Parkington,1945,Best Supporting Actress,nominee,Agnes Moorehead,44,40-54
A Tree Grows in Brooklyn,1946,Best Supporting Actor,winner,James Dunn,44,40-54
Saratoga Trunk,1947,Best Supporting Actress,nominee,Flora Robson,44,40-54
Possessed,1948,Best Actress,nominee,Joan Crawford,44,40-54
Gentleman's Agreement,1948,Best Supporting Actress,nominee,Anne Revere,44,40-54
All About Eve,1951,Best Supporting Actor,winner,George Sanders,44,40-54
The African Queen,1952,Best Actress,nominee,Katharine Hepburn,44,40-54
The Star,1953,Best Actress,nominee,Bette Davis,44,40-54
The Bridge on the River Kwai,1958,Best Actor,winner,Alec Guinness,44,40-54
Peyton Place,1958,Best Supporting Actor,nominee,Arthur Kennedy,44,40-54
Topkapi,1965,Best Supporting Actor,winner,Peter Ustinov,44,40-54
Anne of the Thousand Days,1970,Best Actor,nominee,Richard Burton,44,40-54
The Hospital,1972,Best Actor,nominee,George C. Scott,44,40-54
"Summer Wishes, Winter Dreams",1974,Best Actress,nominee,Joanne Woodward,44,40-54
A Woman Under the Influence,1975,Best Actress,nominee,Gena Rowlands,44,40-54
California Suite,1979,Best Supporting Actress,winner,Maggie Smith,44,40-54
Ordinary People,1981,Best Actress,nominee,Mary Tyler Moore,44,40-54
Reds,1982,Best Supporting Actor,nominee,Jack Nicholson,44,40-54
On Golden Pond,1982,Best Supporting Actress,nominee,Jane Fonda,44,40-54
Testament,1984,Best Actress,nominee,Jane Alexander,44,40-54
The Killing Fields,1985,Best Actor,nominee,Sam Waterston,44,40-54
Mona Lisa,1987,Best Actor,nominee,Bob Hoskins,44,40-54
Longtime Companion,1991,Best Supporting Actor,nominee,Bruce Davison,44,40-54
The Fisher King,1992,Best Supporting Actress,winner,Mercedes Ruehl,44,40-54
L.A. Confidential,1998,Best Supporting Actress,winner,Kim Basinger,44,40-54
Cast Away,2001,Best Actor,nominee,Tom Hanks,44,40-54
The Contender,2001,Best Actress,nominee,Joan Allen,44,40-54
The Last Samurai,2004,Best Supporting Actor,nominee,Ken Watanabe,44,40-54
Mystic River,2004,Best Supporting Actress,nominee,Marcia Gay Harden,44,40-54
Pieces of April,2004,Best Supporting Actress,nominee,Patricia Clarkson,44,40-54
Sideways,2005,Best Supporting Actor,nominee,Thomas Haden Church,44,40-54
Syriana,2006,Best Supporting Actor,winner,George Clooney,44,40-54
Sweeney Todd: The Demon Barber of Fleet Street,2008,Best Actor,nominee,Johnny Depp,44,40-54
The Savages,2008,Best Actress,nominee,Laura Linney,44,40-54
The Wrestler,2009,Best Supporting Actress,nominee,Marisa Tomei,44,40-54
The King's Speech,2011,Best Supporting Actress,nominee,Helena Bonham Carter,44,40-54
Les Mis_rables,2013,Best Actor,nominee,Hugh Jackman,44,40-54
The Impossible,2013,Best Actress,nominee,Naomi Watts,44,40-54
Dallas Buyers Club,2014,Best Actor,winner,Matthew McConaughey,44,40-54
Blue Jasmine,2014,Best Actress,winner,Cate Blanchett,44,40-54
The Big House,1931,Best Actor,nominee,Wallace Beery,45,40-54
The Hurricane,1938,Best Supporting Actor,nominee,Thomas Mitchell,45,40-54
In Old Chicago,1938,Best Supporting Actress,winner,Alice Brady,45,40-54
Pygmalion,1939,Best Actor,nominee,Leslie Howard,45,40-54
White Banners,1939,Best Actress,nominee,Fay Bainter,45,40-54
Jezebel,1939,Best Supporting Actress,winner,Fay Bainter,45,40-54
Mrs. Miniver,1943,Best Actor,nominee,Walter Pidgeon,45,40-54
Gaslight,1945,Best Actor,nominee,Charles Boyer,45,40-54
Dragon Seed,1945,Best Supporting Actress,nominee,Aline MacMahon,45,40-54
The Blue Veil,1952,Best Supporting Actress,nominee,Joan Blondell,45,40-54
A Star Is Born,1955,Best Actor,nominee,James Mason,45,40-54
The High and the Mighty,1955,Best Supporting Actress,nominee,Claire Trevor,45,40-54
Teacher's Pet,1959,Best Supporting Actor,nominee,Gig Young,45,40-54
Some Came Running,1959,Best Supporting Actor,nominee,Arthur Kennedy,45,40-54
Tom Jones,1964,Best Supporting Actress,nominee,Joyce Redman,45,40-54
Ship of Fools,1966,Best Actress,nominee,Simone Signoret,45,40-54
A Patch of Blue,1966,Best Supporting Actress,winner,Shelley Winters,45,40-54
A Man for All Seasons,1967,Best Actor,winner,Paul Scofield,45,40-54
Charly,1969,Best Actor,winner,Cliff Robertson,45,40-54
Oliver!,1969,Best Actor,nominee,Ron Moody,45,40-54
Airport,1971,Best Supporting Actress,nominee,Maureen Stapleton,45,40-54
The Landlord,1971,Best Supporting Actress,nominee,Lee Grant,45,40-54
Sometimes a Great Notion,1972,Best Supporting Actor,nominee,Richard Jaeckel,45,40-54
The Last Picture Show,1972,Best Supporting Actress,winner,Cloris Leachman,45,40-54
The Man in the Glass Booth,1976,Best Actor,nominee,Maximilian Schell,45,40-54
Carrie,1977,Best Supporting Actress,nominee,Piper Laurie,45,40-54
Reds,1982,Best Actor,nominee,Warren Beatty,45,40-54
Tootsie,1983,Best Actor,nominee,Dustin Hoffman,45,40-54
Amadeus,1985,Best Actor,winner,F. Murray Abraham,45,40-54
The Killing Fields,1985,Best Supporting Actor,winner,Haing S. Ngor,45,40-54
My Left Foot,1990,Best Supporting Actress,winner,Brenda Fricker,45,40-54
Thelma & Louise,1992,Best Actress,nominee,Susan Sarandon,45,40-54
JFK,1992,Best Supporting Actor,nominee,Tommy Lee Jones,45,40-54
Blue Sky,1995,Best Actress,winner,Jessica Lange,45,40-54
Apollo 13,1996,Best Supporting Actor,nominee,Ed Harris,45,40-54
Shine,1997,Best Actor,winner,Geoffrey Rush,45,40-54
The Hurricane,2000,Best Actor,nominee,Denzel Washington,45,40-54
Shadow of the Vampire,2001,Best Supporting Actor,nominee,Willem Dafoe,45,40-54
Gangs of New York,2003,Best Actor,nominee,Daniel Day-Lewis,45,40-54
Mystic River,2004,Best Supporting Actor,winner,Tim Robbins,45,40-54
The Cooler,2004,Best Supporting Actor,nominee,Alec Baldwin,45,40-54
Thirteen,2004,Best Supporting Actress,nominee,Holly Hunter,45,40-54
The Last King of Scotland,2007,Best Actor,winner,Forest Whitaker,45,40-54
Dreamgirls,2007,Best Supporting Actor,nominee,Eddie Murphy,45,40-54
Little Children,2007,Best Supporting Actor,nominee,Jackie Earle Haley,45,40-54
The Curious Case of Benjamin Button,2009,Best Actor,nominee,Brad Pitt,45,40-54
The Blind Side,2010,Best Actress,winner,Sandra Bullock,45,40-54
The Master,2013,Best Supporting Actor,nominee,Philip Seymour Hoffman,45,40-54
If I Were King,1939,Best Supporting Actor,nominee,Basil Rathbone,46,40-54
The Westerner,1941,Best Supporting Actor,winner,Walter Brennan,46,40-54
Madame Curie,1944,Best Actor,nominee,Walter Pidgeon,46,40-54
Twelve O'Clock High,1950,Best Supporting Actor,winner,Dean Jagger,46,40-54
Quo Vadis,1952,Best Supporting Actor,nominee,Leo Genn,46,40-54
The Caine Mutiny,1955,Best Supporting Actor,nominee,Tom Tully,46,40-54
Separate Tables,1959,Best Supporting Actress,winner,Wendy Hiller,46,40-54
The Hustler,1962,Best Supporting Actor,nominee,Jackie Gleason,46,40-54
Zorba the Greek,1965,Best Supporting Actress,winner,Lila Kedrova,46,40-54
A Thousand Clowns,1966,Best Supporting Actor,winner,Martin Balsam,46,40-54
The Fortune Cookie,1967,Best Supporting Actor,winner,Walter Matthau,46,40-54
The Turning Point,1978,Best Actress,nominee,Anne Bancroft,46,40-54
"Same Time, Next Year",1979,Best Actress,nominee,Ellen Burstyn,46,40-54
Ordinary People,1981,Best Supporting Actor,nominee,Judd Hirsch,46,40-54
Arthur,1982,Best Actor,nominee,Dudley Moore,46,40-54
An Officer and a Gentleman,1983,Best Supporting Actor,winner,"Louis Gossett, Jr.",46,40-54
