film,year,category,award,name,age0,age
Room at the Top,1960,Best Actor,nominee,Laurence Harvey,31,25-39
Judgment at Nuremberg,1962,Best Actor,winner,Maximilian Schell,31,25-39
The Miracle Worker,1963,Best Actress,winner,Anne Bancroft,31,25-39
Lawrence of Arabia,1963,Best Supporting Actor,nominee,Omar Sharif,31,25-39
Ship of Fools,1966,Best Supporting Actor,nominee,Michael Dunn,31,25-39
Othello,1966,Best Supporting Actress,nominee,Maggie Smith,31,25-39
Bonnie and Clyde,1968,Best Actor,nominee,Warren Beatty,31,25-39
Faces,1969,Best Supporting Actress,nominee,Lynn Carlin,31,25-39
Midnight Cowboy,1970,Best Actor,nominee,Jon Voight,31,25-39
Bob & Carol & Ted & Alice,1970,Best Supporting Actor,nominee,Elliott Gould,31,25-39
"They Shoot Horses, Don't They?",1970,Best Supporting Actress,nominee,Susannah York,31,25-39
The Great White Hope,1971,Best Actress,nominee,Jane Alexander,31,25-39
Five Easy Pieces,1971,Best Supporting Actress,nominee,Karen Black,31,25-39
Mccabe & Mrs. Miller,1972,Best Actress,nominee,Julie Christie,31,25-39
The Way We Were,1974,Best Actress,nominee,Barbra Streisand,31,25-39
Paper Moon,1974,Best Supporting Actress,nominee,Madeline Kahn,31,25-39
Lenny,1975,Best Actress,nominee,Valerie Perrine,31,25-39
The Godfather Part II,1975,Best Supporting Actor,winner,Robert De Niro,31,25-39
Coming Home,1979,Best Supporting Actress,nominee,Penelope Milford,31,25-39
Coal Miner's Daughter,1981,Best Actress,winner,Sissy Spacek,31,25-39
Ragtime,1982,Best Supporting Actor,nominee,"Howard E. Rollins, Jr.",31,25-39
Cross Creek,1984,Best Supporting Actress,nominee,Alfre Woodard,31,25-39
Amadeus,1985,Best Actor,nominee,Tom Hulce,31,25-39
Places in the Heart,1985,Best Supporting Actor,nominee,John Malkovich,31,25-39
Platoon,1987,Best Supporting Actor,nominee,Willem Dafoe,31,25-39
Working Girl,1989,Best Actress,nominee,Melanie Griffith,31,25-39
Mississippi Burning,1989,Best Supporting Actress,nominee,Frances McDormand,31,25-39
The Fabulous Baker Boys,1990,Best Actress,nominee,Michelle Pfeiffer,31,25-39
Schindler's List,1994,Best Supporting Actor,nominee,Ralph Fiennes,31,25-39
The Wings of the Dove,1998,Best Actress,nominee,Helena Bonham Carter,31,25-39
Training Day,2002,Best Supporting Actor,nominee,Ethan Hawke,31,25-39
A Beautiful Mind,2002,Best Supporting Actress,winner,Jennifer Connelly,31,25-39
Cold Mountain,2004,Best Actor,nominee,Jude Law,31,25-39
Walk the Line,2006,Best Actor,nominee,Joaquin Phoenix,31,25-39
Junebug,2006,Best Supporting Actress,nominee,Amy Adams,31,25-39
Little Children,2007,Best Actress,nominee,Kate Winslet,31,25-39
My Week with Marilyn,2012,Best Actress,nominee,Michelle Williams,31,25-39
Cimarron,1932,Best Actress,nominee,Irene Dunne,32,25-39
The Sin of Madelon Claudet,1933,Best Actress,winner,Helen Hayes,32,25-39
The Barretts of Wimpole Street,1935,Best Actress,nominee,Norma Shearer,32,25-39
Private Worlds,1936,Best Actress,nominee,Claudette Colbert,32,25-39
Valiant Is the Word for Carrie,1937,Best Actress,nominee,Gladys George,32,25-39
Camille,1938,Best Actress,nominee,Greta Garbo,32,25-39
Wuthering Heights,1940,Best Actor,nominee,Laurence Olivier,32,25-39
