film,year,award,winner,name,age
A Medal for Benny,1946,Best Supporting Actor,,J. Carrol Naish,50
G.I. Joe,1946,Best Supporting Actor,,Robert Mitchum,28
The Corn Is Green,1946,Best Supporting Actor,,John Dall,27
National Velvet,1946,Best Supporting Actress,winner,Anne Revere,42
Mildred Pierce,1946,Best Supporting Actress,,Eve Arden,37
The Picture of Dorian Gray,1946,Best Supporting Actress,,Angela Lansbury,20
The Corn Is Green,1946,Best Supporting Actress,,Joan Lorring,19
Mildred Pierce,1946,Best Supporting Actress,,Ann Blyth,17
The Best Years of Our Lives,1947,Best Actor,winner,Fredric March,49
Henry V,1947,Best Actor,,Laurence Olivier,39
It's a Wonderful Life,1947,Best Actor,,James Stewart,38
The Jolson Story,1947,Best Actor,,Larry Parks,32
The Yearling,1947,Best Actor,,Gregory Peck,30
To Each His Own,1947,Best Actress,winner,Olivia de Havilland,30
Sister Kenny,1947,Best Actress,,Rosalind Russell,39
Brief Encounter,1947,Best Actress,,Celia Johnson,38
The Yearling,1947,Best Actress,,Jane Wyman,30
Duel in the Sun,1947,Best Actress,,Jennifer Jones,28
The Best Years of Our Lives,1947,Best Supporting Actor,winner,Harold Russell,33
The Green Years,1947,Best Supporting Actor,,Charles Coburn,69
Notorious,1947,Best Supporting Actor,,Claude Rains,57
The Razor's Edge,1947,Best Supporting Actor,,Clifton Webb,57
The Jolson Story,1947,Best Supporting Actor,,William Demarest,55
The Razor's Edge,1947,Best Supporting Actress,winner,Anne Baxter,23
The Spiral Staircase,1947,Best Supporting Actress,,Ethel Barrymore,67
Duel in the Sun,1947,Best Supporting Actress,,Lillian Gish,53
Anna and the King of Siam,1947,Best Supporting Actress,,Gale Sondergaard,48
Saratoga Trunk,1947,Best Supporting Actress,,Flora Robson,44
A Double Life,1948,Best Actor,winner,Ronald Colman,57
Life with Father,1948,Best Actor,,William Powell,55
Mourning Becomes Electra,1948,Best Actor,,Michael Redgrave,40
Body and Soul,1948,Best Actor,,John Garfield,35
Gentleman's Agreement,1948,Best Actor,,Gregory Peck,31
The Farmer's Daughter,1948,Best Actress,winner,Loretta Young,35
Possessed,1948,Best Actress,,Joan Crawford,44
Mourning Becomes Electra,1948,Best Actress,,Rosalind Russell,40
Gentleman's Agreement,1948,Best Actress,,Dorothy McGuire,31
Smash-Up: The Story of a Woman,1948,Best Actress,,Susan Hayward,30
Miracle on 34th Street,1948,Best Supporting Actor,winner,Edmund Gwenn,70
The Farmer's Daughter,1948,Best Supporting Actor,,Charles Bickford,57
Ride the Pink Horse,1948,Best Supporting Actor,,Thomas Gomez,42
Crossfire,1948,Best Supporting Actor,,Robert Ryan,38
Kiss of Death,1948,Best Supporting Actor,,Richard Widmark,33
Gentleman's Agreement,1948,Best Supporting Actress,winner,Celeste Holm,30
The Paradine Case,1948,Best Supporting Actress,,Ethel Barrymore,68
The Egg and I,1948,Best Supporting Actress,,Marjorie Main,58
Gentleman's Agreement,1948,Best Supporting Actress,,Anne Revere,44
Crossfire,1948,Best Supporting Actress,,Gloria Grahame,24
Hamlet,1949,Best Actor,winner,Laurence Olivier,41
Sitting Pretty,1949,Best Actor,,Clifton Webb,59
Johnny Belinda,1949,Best Actor,,Lew Ayres,40
When My Baby Smiles at Me,1949,Best Actor,,Dan Dailey,33
The Search,1949,Best Actor,,Montgomery Clift,28
Johnny Belinda,1949,Best Actress,winner,Jane Wyman,32
I Remember Mama,1949,Best Actress,,Irene Dunne,50
"Sorry, Wrong Number",1949,Best Actress,,Barbara Stanwyck,41
Joan of Arc,1949,Best Actress,,Ingrid Bergman,33
The Snake Pit,1949,Best Actress,,Olivia de Havilland,32
The Treasure of the Sierra Madre,1949,Best Supporting Actor,winner,Walter Huston,66
The Luck of the Irish,1949,Best Supporting Actor,,Cecil Kellaway,58
Johnny Belinda,1949,Best Supporting Actor,,Charles Bickford,58
I Remember Mama,1949,Best Supporting Actor,,Oscar Homolka,50
Joan of Arc,1949,Best Supporting Actor,,Jos_ Ferrer,37
Key Largo,1949,Best Supporting Actress,winner,Claire Trevor,39
Johnny Belinda,1949,Best Supporting Actress,,Agnes Moorehead,48
I Remember Mama,1949,Best Supporting Actress,,Ellen Corby,37
I Remember Mama,1949,Best Supporting Actress,,Barbara Bel Geddes,26
Hamlet,1949,Best Supporting Actress,,Jean Simmons,20
All the King's Men,1950,Best Actor,winner,Broderick Crawford,38
Sands of Iwo Jima,1950,Best Actor,,John Wayne,42
Twelve O'Clock High,1950,Best Actor,,Gregory Peck,33
Champion,1950,Best Actor,,Kirk Douglas,33
The Hasty Heart,1950,Best Actor,,Richard Todd,30
The Heiress,1950,Best Actress,winner,Olivia de Havilland,33
Come to the Stable,1950,Best Actress,,Loretta Young,37
My Foolish Heart,1950,Best Actress,,Susan Hayward,32
"Edward, My Son",1950,Best Actress,,Deborah Kerr,28
Pinky,1950,Best Actress,,Jeanne Crain,24
Twelve O'Clock High,1950,Best Supporting Actor,winner,Dean Jagger,46
The Heiress,1950,Best Supporting Actor,,Ralph Richardson,47
All the King's Men,1950,Best Supporting Actor,,John Ireland,36
Champion,1950,Best Supporting Actor,,Arthur Kennedy,36
Battleground,1950,Best Supporting Actor,,James Whitmore,28
All the King's Men,1950,Best Supporting Actress,winner,Mercedes McCambridge,34
Pinky,1950,Best Supporting Actress,,Ethel Barrymore,70
Pinky,1950,Best Supporting Actress,,Ethel Waters,53
Come to the Stable,1950,Best Supporting Actress,,Elsa Lanchester,47
Come to the Stable,1950,Best Supporting Actress,,Celeste Holm,32
Cyrano De Bergerac,1951,Best Actor,winner,Jos_ Ferrer,39
The Magnificent Yankee,1951,Best Actor,,Louis Calhern,56
Father of the Bride,1951,Best Actor,,Spencer Tracy,51
Harvey,1951,Best Actor,,James Stewart,42
Sunset Blvd.,1951,Best Actor,,William Holden,32
Born Yesterday,1951,Best Actress,winner,Judy Holliday,29
Sunset Blvd.,1951,Best Actress,,Gloria Swanson,52
All About Eve,1951,Best Actress,,Bette Davis,43
Caged,1951,Best Actress,,Eleanor Parker,28
All About Eve,1951,Best Actress,,Anne Baxter,27
All About Eve,1951,Best Supporting Actor,winner,George Sanders,44
Mister 880,1951,Best Supporting Actor,,Edmund Gwenn,73
Sunset Blvd.,1951,Best Supporting Actor,,Erich von Stroheim,65
The Asphalt Jungle,1951,Best Supporting Actor,,Sam Jaffe,60
Broken Arrow,1951,Best Supporting Actor,,Jeff Chandler,32
Harvey,1951,Best Supporting Actress,winner,Josephine Hull,65
Caged,1951,Best Supporting Actress,,Hope Emerson,53
All About Eve,1951,Best Supporting Actress,,Thelma Ritter,49
All About Eve,1951,Best Supporting Actress,,Celeste Holm,33
Sunset Blvd.,1951,Best Supporting Actress,,Nancy Olson,22
The African Queen,1952,Best Actor,winner,Humphrey Bogart,52
Death of a Salesman,1952,Best Actor,,Fredric March,54
Bright Victory,1952,Best Actor,,Arthur Kennedy,38
A Place in the Sun,1952,Best Actor,,Montgomery Clift,31
A Streetcar Named Desire,1952,Best Actor,,Marlon Brando,27
A Streetcar Named Desire,1952,Best Actress,winner,Vivien Leigh,38
The African Queen,1952,Best Actress,,Katharine Hepburn,44
The Blue Veil,1952,Best Actress,,Jane Wyman,35
A Place in the Sun,1952,Best Actress,,Shelley Winters,31
Detective Story,1952,Best Actress,,Eleanor Parker,29
A Streetcar Named Desire,1952,Best Supporting Actor,winner,Karl Malden,40
Quo Vadis,1952,Best Supporting Actor,,Leo Genn,46
Come Fill the Cup,1952,Best Supporting Actor,,Gig Young,38
Death of a Salesman,1952,Best Supporting Actor,,Kevin McCarthy,38
Quo Vadis,1952,Best Supporting Actor,,Peter Ustinov,30
A Streetcar Named Desire,1952,Best Supporting Actress,winner,Kim Hunter,29
Death of a Salesman,1952,Best Supporting Actress,,Mildred Dunnock,51
The Mating Season,1952,Best Supporting Actress,,Thelma Ritter,50
The Blue Veil,1952,Best Supporting Actress,,Joan Blondell,45
Detective Story,1952,Best Supporting Actress,,Lee Grant,26
High Noon,1953,Best Actor,winner,Gary Cooper,51
Moulin Rouge,1953,Best Actor,,Jos_ Ferrer,41
The Lavender Hill Mob,1953,Best Actor,,Alec Guinness,38
The Bad and the Beautiful,1953,Best Actor,,Kirk Douglas,36
Viva Zapata!,1953,Best Actor,,Marlon Brando,28
"Come Back, Little Sheba",1953,Best Actress,winner,Shirley Booth,54
Sudden Fear,1953,Best Actress,,Joan Crawford,49
The Star,1953,Best Actress,,Bette Davis,44
With a Song in My Heart,1953,Best Actress,,Susan Hayward,35
The Member of the Wedding,1953,Best Actress,,Julie Harris,27
Viva Zapata!,1953,Best Supporting Actor,winner,Anthony Quinn,37
The Quiet Man,1953,Best Supporting Actor,,Victor McLaglen,66
The Big Sky,1953,Best Supporting Actor,,Arthur Hunnicutt,43
Sudden Fear,1953,Best Supporting Actor,,Jack Palance,34
My Cousin Rachel,1953,Best Supporting Actor,,Richard Burton,27
The Bad and the Beautiful,1953,Best Supporting Actress,winner,Gloria Grahame,29
With a Song in My Heart,1953,Best Supporting Actress,,Thelma Ritter,51
Singin' in the Rain,1953,Best Supporting Actress,,Jean Hagen,29
Moulin Rouge,1953,Best Supporting Actress,,Colette Marchand,27
"Come Back, Little Sheba",1953,Best Supporting Actress,,Terry Moore,24
Stalag 17,1954,Best Actor,winner,William Holden,35
From Here to Eternity,1954,Best Actor,,Burt Lancaster,40
From Here to Eternity,1954,Best Actor,,Montgomery Clift,33
Julius Caesar,1954,Best Actor,,Marlon Brando,29
The Robe,1954,Best Actor,,Richard Burton,28
Roman Holiday,1954,Best Actress,winner,Audrey Hepburn,24
From Here to Eternity,1954,Best Actress,,Deborah Kerr,32
Mogambo,1954,Best Actress,,Ava Gardner,31
The Moon Is Blue,1954,Best Actress,,Maggie McNamara,25
Lili,1954,Best Actress,,Leslie Caron,22
From Here to Eternity,1954,Best Supporting Actor,winner,Frank Sinatra,38
Roman Holiday,1954,Best Supporting Actor,,Eddie Albert,47
Stalag 17,1954,Best Supporting Actor,,Robert Strauss,40
Shane,1954,Best Supporting Actor,,Jack Palance,35
Shane,1954,Best Supporting Actor,,Brandon De Wilde,11
From Here to Eternity,1954,Best Supporting Actress,winner,Donna Reed,33
Torch Song,1954,Best Supporting Actress,,Marjorie Rambeau,64
Pickup on South Street,1954,Best Supporting Actress,,Thelma Ritter,52
Hondo,1954,Best Supporting Actress,,Geraldine Page,29
Mogambo,1954,Best Supporting Actress,,Grace Kelly,24
