film,year,award,winner,name,age
Network,1977,Best Supporting Actress,winner,Beatrice Straight,62
Voyage of the Damned,1977,Best Supporting Actress,,Lee Grant,51
Carrie,1977,Best Supporting Actress,,Piper Laurie,45
All the President's Men,1977,Best Supporting Actress,,Jane Alexander,37
Taxi Driver,1977,Best Supporting Actress,,Jodie Foster,14
The Goodbye Girl,1978,Best Actor,winner,Richard Dreyfuss,30
A Special Day,1978,Best Actor,,Marcello Mastroianni,53
Equus,1978,Best Actor,,Richard Burton,52
Annie Hall,1978,Best Actor,,Woody Allen,42
Saturday Night Fever,1978,Best Actor,,John Travolta,24
Annie Hall,1978,Best Actress,winner,Diane Keaton,32
The Turning Point,1978,Best Actress,,Anne Bancroft,46
The Turning Point,1978,Best Actress,,Shirley MacLaine,43
Julia,1978,Best Actress,,Jane Fonda,40
The Goodbye Girl,1978,Best Actress,,Marsha Mason,36
Julia,1978,Best Supporting Actor,winner,Jason Robards,55
Star Wars,1978,Best Supporting Actor,,Alec Guinness,64
Julia,1978,Best Supporting Actor,,Maximilian Schell,47
The Turning Point,1978,Best Supporting Actor,,Mikhail Baryshnikov,30
Equus,1978,Best Supporting Actor,,Peter Firth,24
Julia,1978,Best Supporting Actress,winner,Vanessa Redgrave,41
Close Encounters of the Third Kind,1978,Best Supporting Actress,,Melinda Dillon,38
Looking for Mr. Goodbar,1978,Best Supporting Actress,,Tuesday Weld,34
The Turning Point,1978,Best Supporting Actress,,Leslie Browne,20
The Goodbye Girl,1978,Best Supporting Actress,,Quinn Cummings,10
Coming Home,1979,Best Actor,winner,Jon Voight,40
The Boys From Brazil,1979,Best Actor,,Laurence Olivier,71
Heaven Can Wait,1979,Best Actor,,Warren Beatty,42
The Deer Hunter,1979,Best Actor,,Robert De Niro,35
The Buddy Holly Story,1979,Best Actor,,Gary Busey,34
Coming Home,1979,Best Actress,winner,Jane Fonda,41
Autumn Sonata,1979,Best Actress,,Ingrid Bergman,63
Interiors,1979,Best Actress,,Geraldine Page,54
"Same Time, Next Year",1979,Best Actress,,Ellen Burstyn,46
An Unmarried Woman,1979,Best Actress,,Jill Clayburgh,34
The Deer Hunter,1979,Best Supporting Actor,winner,Christopher Walken,36
Comes a Horseman,1979,Best Supporting Actor,,Richard Farnsworth,58
Heaven Can Wait,1979,Best Supporting Actor,,Jack Warden,58
Coming Home,1979,Best Supporting Actor,,Bruce Dern,42
Midnight Express,1979,Best Supporting Actor,,John Hurt,39
California Suite,1979,Best Supporting Actress,winner,Maggie Smith,44
Interiors,1979,Best Supporting Actress,,Maureen Stapleton,53
Heaven Can Wait,1979,Best Supporting Actress,,Dyan Cannon,42
Coming Home,1979,Best Supporting Actress,,Penelope Milford,31
The Deer Hunter,1979,Best Supporting Actress,,Meryl Streep,29
Kramer vs. Kramer,1980,Best Actor,winner,Dustin Hoffman,42
The China Syndrome,1980,Best Actor,,Jack Lemmon,55
Being There,1980,Best Actor,,Peter Sellers,54
All That Jazz,1980,Best Actor,,Roy Scheider,47
...and Justice for All,1980,Best Actor,,Al Pacino,39
Norma Rae,1980,Best Actress,winner,Sally Field,33
The China Syndrome,1980,Best Actress,,Jane Fonda,42
Chapter Two,1980,Best Actress,,Marsha Mason,38
Starting Over,1980,Best Actress,,Jill Clayburgh,35
The Rose,1980,Best Actress,,Bette Midler,34
Being There,1980,Best Supporting Actor,winner,Melvyn Douglas,79
The Black Stallion,1980,Best Supporting Actor,,Mickey Rooney,59
Apocalypse Now,1980,Best Supporting Actor,,Robert Duvall,49
The Rose,1980,Best Supporting Actor,,Frederic Forrest,43
Kramer vs. Kramer,1980,Best Supporting Actor,,Justin Henry,8
Kramer vs. Kramer,1980,Best Supporting Actress,winner,Meryl Streep,30
Breaking Away,1980,Best Supporting Actress,,Barbara Barrie,48
Kramer vs. Kramer,1980,Best Supporting Actress,,Jane Alexander,40
Starting Over,1980,Best Supporting Actress,,Candice Bergen,33
Manhattan,1980,Best Supporting Actress,,Mariel Hemingway,18
Raging Bull,1981,Best Actor,winner,Robert De Niro,37
Tribute,1981,Best Actor,,Jack Lemmon,56
The Great Santini,1981,Best Actor,,Robert Duvall,50
The Stunt Man,1981,Best Actor,,Peter O'Toole,48
The Elephant Man,1981,Best Actor,,John Hurt,41
Coal Miner's Daughter,1981,Best Actress,winner,Sissy Spacek,31
Gloria,1981,Best Actress,,Gena Rowlands,50
Resurrection,1981,Best Actress,,Ellen Burstyn,48
Ordinary People,1981,Best Actress,,Mary Tyler Moore,44
Private Benjamin,1981,Best Actress,,Goldie Hawn,35
Ordinary People,1981,Best Supporting Actor,winner,Timothy Hutton,20
Melvin and Howard,1981,Best Supporting Actor,,Jason Robards,58
Ordinary People,1981,Best Supporting Actor,,Judd Hirsch,46
Raging Bull,1981,Best Supporting Actor,,Joe Pesci,38
The Great Santini,1981,Best Supporting Actor,,Michael O'Keefe,25
Melvin and Howard,1981,Best Supporting Actress,winner,Mary Steenburgen,28
Resurrection,1981,Best Supporting Actress,,Eva Le Gallienne,82
Private Benjamin,1981,Best Supporting Actress,,Eileen Brennan,48
Inside Moves,1981,Best Supporting Actress,,Diana Scarwid,25
Raging Bull,1981,Best Supporting Actress,,Cathy Moriarty,20
On Golden Pond,1982,Best Actor,winner,Henry Fonda,76
Atlantic City,1982,Best Actor,,Burt Lancaster,68
Absence of Malice,1982,Best Actor,,Paul Newman,57
Arthur,1982,Best Actor,,Dudley Moore,46
Reds,1982,Best Actor,,Warren Beatty,45
On Golden Pond,1982,Best Actress,winner,Katharine Hepburn,74
Only When I Laugh,1982,Best Actress,,Marsha Mason,40
Reds,1982,Best Actress,,Diane Keaton,36
Atlantic City,1982,Best Actress,,Susan Sarandon,35
The French Lieutenant's Woman,1982,Best Actress,,Meryl Streep,32
Arthur,1982,Best Supporting Actor,winner,John Gielgud,78
Only When I Laugh,1982,Best Supporting Actor,,James Coco,52
Chariots of Fire,1982,Best Supporting Actor,,Ian Holm,50
Reds,1982,Best Supporting Actor,,Jack Nicholson,44
Ragtime,1982,Best Supporting Actor,,"Howard E. Rollins, Jr.",31
Reds,1982,Best Supporting Actress,winner,Maureen Stapleton,56
Only When I Laugh,1982,Best Supporting Actress,,Joan Hackett,48
On Golden Pond,1982,Best Supporting Actress,,Jane Fonda,44
Absence of Malice,1982,Best Supporting Actress,,Melinda Dillon,42
Ragtime,1982,Best Supporting Actress,,Elizabeth McGovern,20
Gandhi,1983,Best Actor,winner,Ben Kingsley,39
The Verdict,1983,Best Actor,,Paul Newman,58
Missing,1983,Best Actor,,Jack Lemmon,58
My Favorite Year,1983,Best Actor,,Peter O'Toole,50
Tootsie,1983,Best Actor,,Dustin Hoffman,45
Sophie's Choice,1983,Best Actress,winner,Meryl Streep,33
Victor/Victoria,1983,Best Actress,,Julie Andrews,47
Frances,1983,Best Actress,,Jessica Lange,33
Missing,1983,Best Actress,,Sissy Spacek,33
An Officer and a Gentleman,1983,Best Actress,,Debra Winger,27
An Officer and a Gentleman,1983,Best Supporting Actor,winner,"Louis Gossett, Jr.",46
The Verdict,1983,Best Supporting Actor,,James Mason,73
Victor/Victoria,1983,Best Supporting Actor,,Robert Preston,64
The Best Little Whorehouse in Texas,1983,Best Supporting Actor,,Charles Durning,60
The World According to Garp,1983,Best Supporting Actor,,John Lithgow,37
Tootsie,1983,Best Supporting Actress,winner,Jessica Lange,33
Frances,1983,Best Supporting Actress,,Kim Stanley,58
Tootsie,1983,Best Supporting Actress,,Teri Garr,38
Victor/Victoria,1983,Best Supporting Actress,,Lesley Ann Warren,36
The World According to Garp,1983,Best Supporting Actress,,Glenn Close,36
Tender Mercies,1984,Best Actor,winner,Robert Duvall,53
Educating Rita,1984,Best Actor,,Michael Caine,51
The Dresser,1984,Best Actor,,Albert Finney,47
The Dresser,1984,Best Actor,,Tom Courtenay,47
"Reuben, Reuben",1984,Best Actor,,Tom Conti,42
Terms of Endearment,1984,Best Actress,winner,Shirley MacLaine,49
Testament,1984,Best Actress,,Jane Alexander,44
Silkwood,1984,Best Actress,,Meryl Streep,34
Educating Rita,1984,Best Actress,,Julie Walters,34
Terms of Endearment,1984,Best Actress,,Debra Winger,28
Terms of Endearment,1984,Best Supporting Actor,winner,Jack Nicholson,46
To Be or Not to Be,1984,Best Supporting Actor,,Charles Durning,61
Cross Creek,1984,Best Supporting Actor,,Rip Torn,53
The Right Stuff,1984,Best Supporting Actor,,Sam Shepard,40
Terms of Endearment,1984,Best Supporting Actor,,John Lithgow,38
The Year of Living Dangerously,1984,Best Supporting Actress,winner,Linda Hunt,39
Silkwood,1984,Best Supporting Actress,,Cher,37
The Big Chill,1984,Best Supporting Actress,,Glenn Close,37
Cross Creek,1984,Best Supporting Actress,,Alfre Woodard,31
Yentl,1984,Best Supporting Actress,,Amy Irving,30
Amadeus,1985,Best Actor,winner,F. Murray Abraham,45
Under the Volcano,1985,Best Actor,,Albert Finney,48
The Killing Fields,1985,Best Actor,,Sam Waterston,44
Starman,1985,Best Actor,,Jeff Bridges,35
Amadeus,1985,Best Actor,,Tom Hulce,31
Places in the Heart,1985,Best Actress,winner,Sally Field,38
The Bostonians,1985,Best Actress,,Vanessa Redgrave,48
Country,1985,Best Actress,,Jessica Lange,35
The River,1985,Best Actress,,Sissy Spacek,35
A Passage to India,1985,Best Actress,,Judy Davis,29
The Killing Fields,1985,Best Supporting Actor,winner,Haing S. Ngor,45
"Greystoke: The Legend of Tarzan, Lord of the Apes",1985,Best Supporting Actor,,Ralph Richardson,82
The Karate Kid,1985,Best Supporting Actor,,Noriyuki 'Pat' Morita,52
A Soldier's Story,1985,Best Supporting Actor,,Adolph Caesar,51
Places in the Heart,1985,Best Supporting Actor,,John Malkovich,31
A Passage to India,1985,Best Supporting Actress,winner,Peggy Ashcroft,77
The Pope of Greenwich Village,1985,Best Supporting Actress,,Geraldine Page,60
The Natural,1985,Best Supporting Actress,,Glenn Close,38
Places in the Heart,1985,Best Supporting Actress,,Lindsay Crouse,36
Swing Shift,1985,Best Supporting Actress,,Christine Lahti,34
Kiss of the Spider Woman,1986,Best Actor,winner,William Hurt,36
Murphy's Romance,1986,Best Actor,,James Garner,58
Prizzi's Honor,1986,Best Actor,,Jack Nicholson,48
Runaway Train,1986,Best Actor,,Jon Voight,47
Witness,1986,Best Actor,,Harrison Ford,43
The Trip to Bountiful,1986,Best Actress,winner,Geraldine Page,61
Agnes of God,1986,Best Actress,,Anne Bancroft,54
Sweet Dreams,1986,Best Actress,,Jessica Lange,36
Out of Africa,1986,Best Actress,,Meryl Streep,36
The Color Purple,1986,Best Actress,,Whoopi Goldberg,30
Cocoon,1986,Best Supporting Actor,winner,Don Ameche,77
Prizzi's Honor,1986,Best Supporting Actor,,William Hickey,58
Jagged Edge,1986,Best Supporting Actor,,Robert Loggia,56
Out of Africa,1986,Best Supporting Actor,,Klaus Maria Brandauer,42
Runaway Train,1986,Best Supporting Actor,,Eric Roberts,29
Prizzi's Honor,1986,Best Supporting Actress,winner,Anjelica Huston,34
The Color Purple,1986,Best Supporting Actress,,Margaret Avery,42
Twice in a Lifetime,1986,Best Supporting Actress,,Amy Madigan,35
The Color Purple,1986,Best Supporting Actress,,Oprah Winfrey,32
Agnes of God,1986,Best Supporting Actress,,Meg Tilly,26
The Color of Money,1987,Best Actor,winner,Paul Newman,62
'Round Midnight,1987,Best Actor,,Dexter Gordon,64
Mona Lisa,1987,Best Actor,,Bob Hoskins,44
Salvador,1987,Best Actor,,James Woods,39
Children of a Lesser God,1987,Best Actor,,William Hurt,37
Children of a Lesser God,1987,Best Actress,winner,Marlee Matlin,21
The Morning After,1987,Best Actress,,Jane Fonda,49
Aliens,1987,Best Actress,,Sigourney Weaver,37
Crimes of the Heart,1987,Best Actress,,Sissy Spacek,37
Peggy Sue Got Married,1987,Best Actress,,Kathleen Turner,32
Hannah and Her Sisters,1987,Best Supporting Actor,winner,Michael Caine,54
A Room with a View,1987,Best Supporting Actor,,Denholm Elliott,64
Hoosiers,1987,Best Supporting Actor,,Dennis Hopper,50
Platoon,1987,Best Supporting Actor,,Tom Berenger,37
Platoon,1987,Best Supporting Actor,,Willem Dafoe,31
Hannah and Her Sisters,1987,Best Supporting Actress,winner,Dianne Wiest,39
Children of a Lesser God,1987,Best Supporting Actress,,Piper Laurie,55
A Room with a View,1987,Best Supporting Actress,,Maggie Smith,52
Crimes of the Heart,1987,Best Supporting Actress,,Tess Harper,36
The Color of Money,1987,Best Supporting Actress,,Mary Elizabeth Mastrantonio,28
Wall Street,1988,Best Actor,winner,Michael Douglas,43
Dark Eyes,1988,Best Actor,,Marcello Mastroianni,63
Ironweed,1988,Best Actor,,Jack Nicholson,51
Broadcast News,1988,Best Actor,,William Hurt,38
"Good Morning, Vietnam",1988,Best Actor,,Robin Williams,36
Moonstruck,1988,Best Actress,winner,Cher,41
Anna,1988,Best Actress,,Sally Kirkland,46
Fatal Attraction,1988,Best Actress,,Glenn Close,41
Ironweed,1988,Best Actress,,Meryl Streep,38
Broadcast News,1988,Best Actress,,Holly Hunter,30
The Untouchables,1988,Best Supporting Actor,winner,Sean Connery,57
Moonstruck,1988,Best Supporting Actor,,Vincent Gardenia,68
Street Smart,1988,Best Supporting Actor,,Morgan Freeman,50
Broadcast News,1988,Best Supporting Actor,,Albert Brooks,40
Cry Freedom,1988,Best Supporting Actor,,Denzel Washington,33
Moonstruck,1988,Best Supporting Actress,winner,Olympia Dukakis,56
The Whales of August,1988,Best Supporting Actress,,Ann Sothern,79
Throw Momma From the Train,1988,Best Supporting Actress,,Anne Ramsey,59
Gaby - A True Story,1988,Best Supporting Actress,,Norma Aleandro,51
Fatal Attraction,1988,Best Supporting Actress,,Anne Archer,40
Rain Man,1989,Best Actor,winner,Dustin Hoffman,51
Pelle the Conqueror,1989,Best Actor,,Max von Sydow,60
Mississippi Burning,1989,Best Actor,,Gene Hackman,59
Stand and Deliver,1989,Best Actor,,Edward James Olmos,42
Big,1989,Best Actor,,Tom Hanks,32
The Accused,1989,Best Actress,winner,Jodie Foster,26
Dangerous Liaisons,1989,Best Actress,,Glenn Close,42
A Cry in the Dark,1989,Best Actress,,Meryl Streep,39
Gorillas in the Mist,1989,Best Actress,,Sigourney Weaver,39
Working Girl,1989,Best Actress,,Melanie Griffith,31
A Fish Called Wanda,1989,Best Supporting Actor,winner,Kevin Kline,41
Little Dorrit,1989,Best Supporting Actor,,Alec Guinness,75
Tucker: The Man and His Dream,1989,Best Supporting Actor,,Martin Landau,60
Married to the Mob,1989,Best Supporting Actor,,Dean Stockwell,53
Running on Empty,1989,Best Supporting Actor,,River Phoenix,18
The Accidental Tourist,1989,Best Supporting Actress,winner,Geena Davis,33
Working Girl,1989,Best Supporting Actress,,Sigourney Weaver,39
Mississippi Burning,1989,Best Supporting Actress,,Frances McDormand,31
Dangerous Liaisons,1989,Best Supporting Actress,,Michelle Pfeiffer,30
Working Girl,1989,Best Supporting Actress,,Joan Cusack,26
My Left Foot,1990,Best Actor,winner,Daniel Day-Lewis,32
Driving Miss Daisy,1990,Best Actor,,Morgan Freeman,52
Dead Poets Society,1990,Best Actor,,Robin Williams,38
Henry V,1990,Best Actor,,Kenneth Branagh,29
Born on the Fourth of July,1990,Best Actor,,Tom Cruise,27
Driving Miss Daisy,1990,Best Actress,winner,Jessica Tandy,80
Shirley Valentine,1990,Best Actress,,Pauline Collins,49
Music Box,1990,Best Actress,,Jessica Lange,40
Camille Claudel,1990,Best Actress,,Isabelle Adjani,34
The Fabulous Baker Boys,1990,Best Actress,,Michelle Pfeiffer,31
Glory,1990,Best Supporting Actor,winner,Denzel Washington,35
A Dry White Season,1990,Best Supporting Actor,,Marlon Brando,66
Crimes and Misdemeanors,1990,Best Supporting Actor,,Martin Landau,61
Do the Right Thing,1990,Best Supporting Actor,,Danny Aiello,56
Driving Miss Daisy,1990,Best Supporting Actor,,Dan Aykroyd,37
My Left Foot,1990,Best Supporting Actress,winner,Brenda Fricker,45
Parenthood,1990,Best Supporting Actress,,Dianne Wiest,42
Enemies: A Love Story,1990,Best Supporting Actress,,Anjelica Huston,38
Enemies: A Love Story,1990,Best Supporting Actress,,Lena Olin,35
Steel Magnolias,1990,Best Supporting Actress,,Julia Roberts,22
Reversal of Fortune,1991,Best Actor,winner,Jeremy Irons,42
The Field,1991,Best Actor,,Richard Harris,60
Awakenings,1991,Best Actor,,Robert De Niro,47
Cyrano De Bergerac,1991,Best Actor,,Gerard Depardieu,42
Dances with Wolves,1991,Best Actor,,Kevin Costner,36
Misery,1991,Best Actress,winner,Kathy Bates,42
Mr. & Mrs. Bridge,1991,Best Actress,,Joanne Woodward,61
Postcards From the Edge,1991,Best Actress,,Meryl Streep,41
The Grifters,1991,Best Actress,,Anjelica Huston,39
Pretty Woman,1991,Best Actress,,Julia Roberts,23
Good Fellas,1991,Best Supporting Actor,winner,Joe Pesci,48
Dances with Wolves,1991,Best Supporting Actor,,Graham Greene,86
Dick Tracy,1991,Best Supporting Actor,,Al Pacino,50
Longtime Companion,1991,Best Supporting Actor,,Bruce Davison,44
"The Godfather, Part III",1991,Best Supporting Actor,,Andy Garcia,34
Ghost,1991,Best Supporting Actress,winner,Whoopi Goldberg,35
Wild at Heart,1991,Best Supporting Actress,,Diane Ladd,55
Dances with Wolves,1991,Best Supporting Actress,,Mary McDonnell,38
Good Fellas,1991,Best Supporting Actress,,Lorraine Bracco,36
The Grifters,1991,Best Supporting Actress,,Annette Bening,32
The Silence of the Lambs,1992,Best Actor,winner,Anthony Hopkins,54
Bugsy,1992,Best Actor,,Warren Beatty,55
The Prince of Tides,1992,Best Actor,,Nick Nolte,51
Cape Fear,1992,Best Actor,,Robert De Niro,48
The Fisher King,1992,Best Actor,,Robin Williams,40
The Silence of the Lambs,1992,Best Actress,winner,Jodie Foster,29
For the Boys,1992,Best Actress,,Bette Midler,46
Thelma & Louise,1992,Best Actress,,Susan Sarandon,45
Thelma & Louise,1992,Best Actress,,Geena Davis,36
Rambling Rose,1992,Best Actress,,Laura Dern,25
City Slickers,1992,Best Supporting Actor,winner,Jack Palance,73
Bugsy,1992,Best Supporting Actor,,Harvey Keitel,52
Barton Fink,1992,Best Supporting Actor,,Michael Lerner,50
Bugsy,1992,Best Supporting Actor,,Ben Kingsley,48
JFK,1992,Best Supporting Actor,,Tommy Lee Jones,45
The Fisher King,1992,Best Supporting Actress,winner,Mercedes Ruehl,44
Fried Green Tomatoes,1992,Best Supporting Actress,,Jessica Tandy,82
Rambling Rose,1992,Best Supporting Actress,,Diane Ladd,56
The Prince of Tides,1992,Best Supporting Actress,,Kate Nelligan,41
Cape Fear,1992,Best Supporting Actress,,Juliette Lewis,18
Scent of a Woman,1993,Best Actor,winner,Al Pacino,52
Unforgiven,1993,Best Actor,,Clint Eastwood,62
The Crying Game,1993,Best Actor,,Stephen Rea,46
Malcolm X,1993,Best Actor,,Denzel Washington,38
Chaplin,1993,Best Actor,,"Robert Downey, Jr.",28
Howards End,1993,Best Actress,winner,Emma Thompson,33
Indochine,1993,Best Actress,,Catherine Deneuve,49
Lorenzo's Oil,1993,Best Actress,,Susan Sarandon,46
Passion Fish,1993,Best Actress,,Mary McDonnell,40
Love Field,1993,Best Actress,,Michelle Pfeiffer,34
Unforgiven,1993,Best Supporting Actor,winner,Gene Hackman,63
A Few Good Men,1993,Best Supporting Actor,,Jack Nicholson,55
Glengarry Glen Ross,1993,Best Supporting Actor,,Al Pacino,52
Mr. Saturday Night,1993,Best Supporting Actor,,David Paymer,38
The Crying Game,1993,Best Supporting Actor,,Jaye Davidson,25
My Cousin Vinny,1993,Best Supporting Actress,winner,Marisa Tomei,28
Enchanted April,1993,Best Supporting Actress,,Joan Plowright,63
Howards End,1993,Best Supporting Actress,,Vanessa Redgrave,56
Husbands and Wives,1993,Best Supporting Actress,,Judy Davis,37
Damage,1993,Best Supporting Actress,,Miranda Richardson,35
Philadelphia,1994,Best Actor,winner,Tom Hanks,37
The Remains of the Day,1994,Best Actor,,Anthony Hopkins,56
Schindler's List,1994,Best Actor,,Liam Neeson,41
In the Name of the Father,1994,Best Actor,,Daniel Day-Lewis,36
What's Love Got to Do with It,1994,Best Actor,,Laurence Fishburne,32
The Piano,1994,Best Actress,winner,Holly Hunter,36
Six Degrees of Separation,1994,Best Actress,,Stockard Channing,50
Shadowlands,1994,Best Actress,,Debra Winger,38
What's Love Got to Do with It,1994,Best Actress,,Angela Bassett,35
The Remains of the Day,1994,Best Actress,,Emma Thompson,34
The Fugitive,1994,Best Supporting Actor,winner,Tommy Lee Jones,47
In the Name of the Father,1994,Best Supporting Actor,,Pete Postlethwaite,48
In the Line of Fire,1994,Best Supporting Actor,,John Malkovich,40
Schindler's List,1994,Best Supporting Actor,,Ralph Fiennes,31
What's Eating Gilbert Grape,1994,Best Supporting Actor,,Leonardo DiCaprio,19
The Piano,1994,Best Supporting Actress,winner,Anna Paquin,11
The Firm,1994,Best Supporting Actress,,Holly Hunter,36
In the Name of the Father,1994,Best Supporting Actress,,Emma Thompson,34
Fearless,1994,Best Supporting Actress,,Rosie Perez,29
The Age of Innocence,1994,Best Supporting Actress,,Winona Ryder,22
Forrest Gump,1995,Best Actor,winner,Tom Hanks,38
Nobody's Fool,1995,Best Actor,,Paul Newman,70
The Madness of King George,1995,Best Actor,,Nigel Hawthorne,66
The Shawshank Redemption,1995,Best Actor,,Morgan Freeman,57
Pulp Fiction,1995,Best Actor,,John Travolta,41
Blue Sky,1995,Best Actress,winner,Jessica Lange,45
The Client,1995,Best Actress,,Susan Sarandon,48
Tom & Viv,1995,Best Actress,,Miranda Richardson,37
Nell,1995,Best Actress,,Jodie Foster,32
Little Women,1995,Best Actress,,Winona Ryder,23
Ed Wood,1995,Best Supporting Actor,winner,Martin Landau,66
Quiz Show,1995,Best Supporting Actor,,Paul Scofield,73
Bullets Over Broadway,1995,Best Supporting Actor,,Chazz Palminteri,48
Pulp Fiction,1995,Best Supporting Actor,,Samuel L. Jackson,46
Forrest Gump,1995,Best Supporting Actor,,Gary Sinise,40
Bullets Over Broadway,1995,Best Supporting Actress,winner,Dianne Wiest,47
Tom & Viv,1995,Best Supporting Actress,,Rosemary Harris,67
The Madness of King George,1995,Best Supporting Actress,,Helen Mirren,49
Bullets Over Broadway,1995,Best Supporting Actress,,Jennifer Tilly,36
Pulp Fiction,1995,Best Supporting Actress,,Uma Thurman,24
Leaving Las Vegas,1996,Best Actor,winner,Nicolas Cage,32
Nixon,1996,Best Actor,,Anthony Hopkins,58
Mr. Holland's Opus,1996,Best Actor,,Richard Dreyfuss,48
The Postman (Il Postino),1996,Best Actor,,Massimo Troisi,43
Dead Man Walking,1996,Best Actor,,Sean Penn,35
Dead Man Walking,1996,Best Actress,winner,Susan Sarandon,49
The Bridges of Madison County,1996,Best Actress,,Meryl Streep,46
Casino,1996,Best Actress,,Sharon Stone,38
Sense and Sensibility,1996,Best Actress,,Emma Thompson,36
Leaving Las Vegas,1996,Best Actress,,Elisabeth Shue,32
The Usual Suspects,1996,Best Supporting Actor,winner,Kevin Spacey,36
Babe,1996,Best Supporting Actor,,James Cromwell,56
Apollo 13,1996,Best Supporting Actor,,Ed Harris,45
Rob Roy,1996,Best Supporting Actor,,Tim Roth,34
Twelve Monkeys,1996,Best Supporting Actor,,Brad Pitt,32
Mighty Aphrodite,1996,Best Supporting Actress,winner,Mira Sorvino,28
Apollo 13,1996,Best Supporting Actress,,Kathleen Quinlan,41
Nixon,1996,Best Supporting Actress,,Joan Allen,39
Georgia,1996,Best Supporting Actress,,Mare Winningham,36
Sense and Sensibility,1996,Best Supporting Actress,,Kate Winslet,20
Shine,1997,Best Actor,winner,Geoffrey Rush,45
Sling Blade,1997,Best Actor,,Billy Bob Thornton,41
The People vs. Larry Flynt,1997,Best Actor,,Woody Harrelson,35
Jerry Maguire,1997,Best Actor,,Tom Cruise,34
The English Patient,1997,Best Actor,,Ralph Fiennes,34
Fargo,1997,Best Actress,winner,Frances McDormand,39
Marvin's Room,1997,Best Actress,,Diane Keaton,51
Secrets & Lies,1997,Best Actress,,Brenda Blethyn,51
The English Patient,1997,Best Actress,,Kristin Scott Thomas,36
Breaking the Waves,1997,Best Actress,,Emily Watson,30
Jerry Maguire,1997,Best Supporting Actor,winner,"Cuba Gooding, Jr.",29
Shine,1997,Best Supporting Actor,,Armin Mueller-Stahl,66
Ghosts of Mississippi,1997,Best Supporting Actor,,James Woods,49
Fargo,1997,Best Supporting Actor,,William H. Macy,47
Primal Fear,1997,Best Supporting Actor,,Edward Norton,27
The English Patient,1997,Best Supporting Actress,winner,Juliette Binoche,33
The Mirror Has Two Faces,1997,Best Supporting Actress,,Lauren Bacall,72
The Portrait of a Lady,1997,Best Supporting Actress,,Barbara Hershey,49
The Crucible,1997,Best Supporting Actress,,Joan Allen,40
Secrets & Lies,1997,Best Supporting Actress,,Marianne Jean-Baptiste,29
As Good As It Gets,1998,Best Actor,winner,Jack Nicholson,60
The Apostle,1998,Best Actor,,Robert Duvall,67
Wag the Dog,1998,Best Actor,,Dustin Hoffman,60
Ulee's Gold,1998,Best Actor,,Peter Fonda,58
Good Will Hunting,1998,Best Actor,,Matt Damon,27
As Good As It Gets,1998,Best Actress,winner,Helen Hunt,34
Mrs. Brown,1998,Best Actress,,Judi Dench,63
Afterglow,1998,Best Actress,,Julie Christie,56
The Wings of the Dove,1998,Best Actress,,Helena Bonham Carter,31
Titanic,1998,Best Actress,,Kate Winslet,22
Good Will Hunting,1998,Best Supporting Actor,winner,Robin Williams,46
Boogie Nights,1998,Best Supporting Actor,,Burt Reynolds,62
Amistad,1998,Best Supporting Actor,,Anthony Hopkins,60
Jackie Brown,1998,Best Supporting Actor,,Robert Forster,56
As Good As It Gets,1998,Best Supporting Actor,,Greg Kinnear,34
L.A. Confidential,1998,Best Supporting Actress,winner,Kim Basinger,44
Titanic,1998,Best Supporting Actress,,Gloria Stuart,87
Boogie Nights,1998,Best Supporting Actress,,Julianne Moore,37
In & Out,1998,Best Supporting Actress,,Joan Cusack,35
Good Will Hunting,1998,Best Supporting Actress,,Minnie Driver,28
Life is Beautiful,1999,Best Actor,winner,Roberto Benigni,46
Gods and Monsters,1999,Best Actor,,Ian McKellen,59
Affliction,1999,Best Actor,,Nick Nolte,58
Saving Private Ryan,1999,Best Actor,,Tom Hanks,42
American History X,1999,Best Actor,,Edward Norton,29
Shakespeare in Love,1999,Best Actress,winner,Gwyneth Paltrow,26
Central Station,1999,Best Actress,,Fernanda Montenegro,69
One True Thing,1999,Best Actress,,Meryl Streep,49
Hilary and Jackie,1999,Best Actress,,Emily Watson,32
Elizabeth,1999,Best Actress,,Cate Blanchett,29
Affliction,1999,Best Supporting Actor,winner,James Coburn,70
A Civil Action,1999,Best Supporting Actor,,Robert Duvall,68
The Truman Show,1999,Best Supporting Actor,,Ed Harris,48
Shakespeare in Love,1999,Best Supporting Actor,,Geoffrey Rush,47
A Simple Plan,1999,Best Supporting Actor,,Billy Bob Thornton,43
Shakespeare in Love,1999,Best Supporting Actress,winner,Judi Dench,64
Gods and Monsters,1999,Best Supporting Actress,,Lynn Redgrave,56
Little Voice,1999,Best Supporting Actress,,Brenda Blethyn,53
Primary Colors,1999,Best Supporting Actress,,Kathy Bates,50
Hilary and Jackie,1999,Best Supporting Actress,,Rachel Griffiths,30
American Beauty,2000,Best Actor,winner,Kevin Spacey,40
The Straight Story,2000,Best Actor,,Richard Farnsworth,79
The Hurricane,2000,Best Actor,,Denzel Washington,45
Sweet and Lowdown,2000,Best Actor,,Sean Penn,39
The Insider,2000,Best Actor,,Russell Crowe,35
Boys Don't Cry,2000,Best Actress,winner,Hilary Swank,25
Music of the Heart,2000,Best Actress,,Meryl Streep,50
American Beauty,2000,Best Actress,,Annette Bening,41
The End of the Affair,2000,Best Actress,,Julianne Moore,39
